epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8224,1.51565,3.73075,1.35809,0.01113,0.53626,0.07809,0.04077,1.43488,3.52912,1.25311,0.000204167,0.000204167,0.000204167
2,56.1551,1.5095,2.65866,1.30337,0.48167,0.09459,0.15069,0.0774,1.50478,2.78227,1.36992,0.000392081,0.000392081,0.000392081
3,82.9178,1.45449,2.33177,1.28838,0.42505,0.33943,0.27355,0.1484,1.45299,1.99842,1.30588,0.000559371,0.000559371,0.000559371
4,107.399,1.46248,2.20263,1.28164,0.49912,0.38168,0.34635,0.19637,1.4323,1.68475,1.27928,0.000532187,0.000532187,0.000532187
5,134.226,1.41802,2.00839,1.27711,0.64131,0.38465,0.38761,0.21706,1.43707,1.58908,1.29152,0.00050125,0.00050125,0.00050125
6,161.507,1.39565,1.96086,1.26023,0.53516,0.47916,0.42899,0.24081,1.4142,1.49832,1.26628,0.000470312,0.000470312,0.000470312
7,187.657,1.38787,1.81052,1.26022,0.58348,0.48264,0.46517,0.2666,1.35594,1.42428,1.22869,0.000439375,0.000439375,0.000439375
8,212.617,1.37012,1.74766,1.23557,0.66574,0.52401,0.51909,0.31228,1.33614,1.31898,1.22966,0.000408438,0.000408438,0.000408438
9,239.154,1.36587,1.68517,1.23794,0.67381,0.54728,0.55048,0.3129,1.38482,1.33904,1.25816,0.0003775,0.0003775,0.0003775
10,265.738,1.33043,1.62625,1.20587,0.61379,0.55995,0.5763,0.33617,1.34887,1.27555,1.21507,0.000346563,0.000346563,0.000346563
11,294.113,1.34278,1.7206,1.24314,0.70793,0.56963,0.58256,0.34155,1.33996,1.26448,1.24305,0.000315625,0.000315625,0.000315625
12,318.228,1.30004,1.6138,1.21267,0.71781,0.61675,0.61923,0.3777,1.28075,1.17576,1.17716,0.000284688,0.000284688,0.000284688
13,344.406,1.30565,1.58057,1.2126,0.71278,0.65535,0.67405,0.42196,1.24601,1.07906,1.16172,0.00025375,0.00025375,0.00025375
14,370.082,1.27411,1.5066,1.1824,0.73409,0.64325,0.66745,0.41338,1.25252,1.05885,1.14845,0.000222813,0.000222813,0.000222813
15,393.24,1.27219,1.44268,1.17607,0.72409,0.63269,0.68184,0.43659,1.2089,1.0056,1.13935,0.000191875,0.000191875,0.000191875
16,418.7,1.23305,1.39728,1.16308,0.74061,0.70696,0.71723,0.45678,1.209,0.9759,1.13243,0.000160938,0.000160938,0.000160938
17,444.079,1.22779,1.34158,1.16202,0.74173,0.69839,0.73891,0.48338,1.17726,0.92984,1.1158,0.00013,0.00013,0.00013
18,467.91,1.21263,1.32561,1.15105,0.80566,0.69407,0.74766,0.4961,1.16074,0.90192,1.10479,9.90625e-05,9.90625e-05,9.90625e-05
19,493.896,1.1854,1.29256,1.13848,0.80751,0.70862,0.76197,0.50397,1.14562,0.88923,1.0955,6.8125e-05,6.8125e-05,6.8125e-05
20,519.928,1.17425,1.24887,1.11728,0.8103,0.70405,0.76145,0.50995,1.13415,0.86997,1.08954,3.71875e-05,3.71875e-05,3.71875e-05
